Lemma,Gloss,Arabic lemmas (or gap),Arabic Gloss
time,the continuum of experience in which events pass from the future through the present to the past,وقت ,التتابع الزمني الذي تمر فيه الأحداث من المستقبل عبر الحاضر إلى الماضي.
"tone, pure tone",a steady sound without overtones,نغمة ,صوت ثابت بدون ترددات إضافية.
sore,an open skin infection,جرح,مكان مؤلم في الجسم، مثل جرح أو التهاب.
"immediately, instantly, straightaway, straight off, directly, now, right away, at once, forthwith, in real time, like a shot",without delay or hesitation; with no time intervening,"حَالاً, مُبَاشَرَةً, فَوْرَاً",حدوث الشيء بدون تردد أو تأجيل أو مقاطعة في المنتصف 
"now, at present",at the present moment,الآن,في هذه اللحظة الحالية.
needle,a sharp pointed implement (usually steel),إبرة,أداة مدببة حادة (عادةً من الفولاذ).
"measure, quantity, amount",how much there is of something that you can quantify,مقدار,كمية أو حجم شيء يمكن قياسه أو تعداده.
"corner, nook",an interior angle formed be two meeting walls,زاوية,زاوية داخلية تتشكل من التقاء جدارين.
game,an amusement or pastime,لعبة,نشاطًا يُمارَس للترفيه أو المنافسة، وغالبًا ما يتضمن قواعد وأهداف.
"happen, hap, go on, pass off, occur, pass, fall out, come about, take place",come to pass,حدث,وقوع شيء ما أو حدوثه في زمن معين
"letter, missive",a written message addressed to a person or organization,رسالة ,رسالة مكتوبة موجهة إلى شخص أو منظمة.
ear,the sense organ for hearing and equilibrium,أذن,العضو المسؤول عن السمع والتوازن في الجسم.
long,primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified,طويل,أن الشيء يمتد لمسافة كبيرة، مثل طول شيء ما أو وقت ممتد.
"hog, pig, grunter, squealer, sus scrofa",domestic swine,GAP,
"net, network, mesh, meshing, meshwork",an open fabric of string or rope or wire woven together at regular intervals,شبكة,نسيج مفتوح من خيوط أو حبال أو أسلاك مضفرة معًا على فترات منتظمة.
"pain, pain sensation, painful sensation",a somatic sensation of acute discomfort,ألم,هو شعور بعدم الراحة الجسدية نتيجة إصابة أو مرض.
"urge, urge on, press, exhort",force or impel in an indicated direction,يحُثّ,يُجبر أو يُدفع في اتجاه معين.
"center, centre, middle, heart, eye",an area that is approximately central within some larger region,مركز,النقطة أو المكان الذي يكون في منتصف شيء ما أو الأكثر أهمية فيه.
"trace, draw, line, describe, delineate",make a mark or lines on a surface,يحدد,التعبير عن شكل أو مسار شيء ما من خلال الرسم أو الوصف.
"heat, warmth",the sensation caused by heat energy,حرارة,الإحساس بالحرارة أو الطاقة الحرارية.
short,(primarily spatial sense) having little length or lacking in length,قصير,أن الشيء له طول قليل أو لا يمتد لمسافة كبيرة.
"get down, begin, get, start out, start, set about, set out, commence",take the first step or steps in carrying out an action,يبدأ,بدء القيام بشيء معين أو بدء عمل ما.
work,exert oneself by doing mental or physical work for a purpose or out of necessity,يعمل,أداء مهام أو أنشطة لتحقيق هدف معين.
age,how long something has existed,عمر,الفترة الزمنية منذ الولادة، أو مرحلة معينة في حياة الشخص.
"lead, take, direct, conduct, guide",take somebody somewhere,يُوجه,توجيه شخص أو مجموعة نحو هدف أو مسار معين
"doctor, doc, physician, md, dr., medico",a licensed medical practitioner,طبيب,شخص مختص في الطب يقدم الرعاية الصحية للمرضى.
gun,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel),بندقية,سلاح ناري يستخدم لإطلاق الرصاص
"begin, lead off, start, commence","set in motion, cause to start",يبدأ,بدء القيام بشيء معين أو بدء عملية.
breath,the process of taking in and expelling air during breathing,نفس,عملية أخذ الهواء وإخراجه أثناء التنفس.
bull,uncastrated adult male of domestic cattle,ثور,حيوان ثديي كبير من فصيلة الأبقار، ويستخدم عادة في الزراعة أو التربية.
"cow, moo-cow",female of domestic cattle,بقرة,أنثى البقر، وهي حيوان يُربى عادة من أجل الحليب أو اللحم.
"brawl, wrangle","to quarrel noisily, angrily or disruptively",يتشاجر,الانخراط في صراع أو خلاف، سواء كان ذلك جسديًا أو لفظيًا.
play,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,يلعب,الانخراط في نشاط ترفيهي أو تنافسي، غالبًا ما يكون بغرض المتعة أو الاسترخاء.
noise,sound of any kind (especially unintelligible or dissonant sound),ضوضاء,صوت غير منتظم أو مزعج، يمكن أن يكون صاخبًا أو غير مريح.
"swallow, get down",pass through the esophagus as part of eating or drinking,يبتلع,يتم انتقال الطعام أو الشراب عبر المريء أثناء عملية الأكل أو الشرب
"country, state, land",the territory occupied by a nation,دولة,الأرض التي تنتمي إلى دولة معينة وتحت سلطتها.
onion,an aromatic flavorful bulb,بصل,هو نبات يُستخدم كخضار في الطهي، ويتميز بطعمه الحار ورائحته القوية.
"earlier, before",earlier in time; previously,قبل,في وقت سابق أو سابقًا.
"noose, running noose, slip noose",a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled,حلقة,حلقة تتشكل في حبل أو خيط وتصبح أضيق عند سحبها.
"subsequently, later, afterwards, afterward, after, later on",happening at a time subsequent to a reference time,GAP,
"arrive, get, come",reach a destination; arrive by movement or progress,يصل,الانتقال إلى مكان معين أو الوصول إلى وجهة محددة.
"suddenly, all of a sudden, of a sudden",happening unexpectedly,فجأة,حدوث شيء بشكل غير متوقع أو سريع.
"let, allow, permit",make it possible through a specific action or lack of action for something to happen,يسمح,منح الإذن أو القبول لفعل شيء ما.
touch,"make physical contact with, come in contact with",يلمس,الاتصال الجسدي بسطح شيء ما أو تأثيره عليه.
pick up,take up by hand,يأخذ,رفع شيء من مكانه أو استعادته.
bag,a flexible container with a single opening,حقيبة,وعاء يستخدم لحمل الأشياء، وغالبًا ما يكون مصنوعًا من القماش أو الجلد أو البلاستيك.
cradle,a baby bed with sides and rockers,مهد,سرير للأطفال بجوانب وقواعد متأرجحة.
"die, decease, perish, go, exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it",pass from physical life and lose all bodily attributes and functions necessary to sustain life,يموت,انتهاء حياة الكائن الحي، حيث تتوقف جميع وظائف الجسم الحيوية.
full,containing as much or as many as is possible or normal,مليء,يحتوي على أكبر قدر ممكن أو عدد ممكن.
news,new information of any kind,أخبار,الأخبار أو المعلومات الجديدة حول الأحداث الجارية.
be born,come into existence through birth,يُولَد,تأتي إلى الوجود من خلال الولادة.
sheep,woolly usually horned ruminant mammal related to the goat,خروف,هو حيوان مجتر يُربى للحصول على الصوف واللحم.
"ahead, in front, before",at or in the front,GAP,
"ahead, onward, onwards, forward, forwards, forrader",in a forward direction,قدماً,في اتجاه الأمام.
thunder,a booming or crashing noise caused by air expanding along the path of a bolt of lightning,رعد,هو الصوت الناتج عن تمدد الهواء بسبب حرارة البرق.
empty,holding or containing nothing,فارغ,"يحتوي على لا شيء"" أو ""لا يحمل شيئاً"
"separate, part, split up, split, break, break up",discontinue an association or relation; go different ways,يفصل,يفصل أو ينهي علاقة أو ارتباط بين شخصين أو مجموعة.
"blind, unsighted",unable to see,أعمى ,عدم القدرة على الرؤية
"exit, go out, get out, leave",move out of or depart from,يغادر,يخرج من أو يغادر.
"enter, come in, get into, get in, go into, go in, move into",to come or go into,يدخل,الانتقال من خارج مكان إلى داخله
"take, get hold of","get into one's hands, take physically",يأخذ,استلام شيء أو الحصول عليه
shelf,a support that consists of a horizontal surface for holding objects,رف,هو سطح أفقي مثبت على الجدار أو قائم بشكل منفصل، يُستخدم لوضع أو عرض الأشياء مثل الكتب أو الزينة أو الأدوات.
"grasp, hold on",hold firmly,يستولي,يمسك بقوة
precious,of high worth or cost,ثمين,ذو قيمة عالية أو تكلفة مرتفعة
"call, send for","order, request, or command to come",يستدعي,طلب حضور شخص معين
"hold, take hold",have or hold in one's hands or grip,يمسك,يمسك أو يحمل بين يديه.
"home, place",where you live at a particular time,مكان,مكان الإقامة في وقت معين
uncle,the brother of your father or mother; the husband of your aunt,GAP,
desire,an inclination to want things,رغبة ,ميل أو انحياز نحو شيء معين أو طموح لتحقيق هدف أو الحصول على شيء.
"crockery, dishware",tableware (eating and serving dishes) collectively,أواني,أدوات المائدة (الأطباق المستخدمة للتناول والتقديم) بشكل عام.
"forward, forwards, frontward, frontwards, forrad, forrard",at or to or toward the front,GAP,
"back, backward, backwards, rearward, rearwards",at or to or toward the back or rear,GAP,
"blue, bluish, blueish",of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky,أزرق,هو لون يقع بين الأخضر والبنفسجي في طيف الضوء المرئي، ويعبر عن صفاء السماء والماء.
"handle, grip, handgrip, hold",the appendage to an object that is designed to be held in order to use or move it,مقبض,الملحق الذي يُستخدم للإمساك بجسم ما لتحريكه أو التحكم فيه.
pointed,having a point,حاد ,تعني أن الشيء له طرف حاد أو مدبب، مثل رأس القلم أو الشوكة
end,a boundary marking the extremities of something,نهاية,حد يحدد أطراف أو حدود شيء ما.
shirt,a garment worn on the upper half of the body,قميص,هو نوع من الملابس يُرتدى على الجزء العلوي من الجسم
meet,meet by design; be present at the arrival of,يلتقي,الاجتماع أو اللقاء مع شخص أو مجموعة في مكان وزمان معين.
"backward, backwards",in a manner or order or direction the reverse of normal,GAP,بشكل أو ترتيب أو اتجاه معكوس عن المعتاد.
"meet, run into, encounter, run across, come across, see",come together,يلتقي,تجتمع تعني الاتحاد أو الانضمام إلى مجموعة أو شخص آخر
freeze,change to ice,يتجمد,أن الشيء يتحول إلى جليد أو صلب عندما تنخفض حرارته.
shoe,footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material,حذاء,هو غطاء يُلبس على القدم، يُستخدم للمشي أو الحركة، ويمكن أن يكون مصنوعًا من مواد مختلفة مثل الجلد أو القماش أو البلاستيك.
"flip, flip over, turn over","turn upside down, or throw so as to reverse",يقلب,يقلب إلى الجهة المعاكسة، أو يرمي ليعكس الاتجاه.
"current, stream",a steady flow (usually from natural causes),تيار,هو تدفق مستمر لمادة معينة، مثل الماء أو الهواء، وغالبًا ما يكون ناتجًا عن عوامل طبيعية.
boil,come to the boiling point and change from a liquid to vapor,يغلي,أن السائل يسخن إلى درجة حرارة تجعله يتحول إلى بخار.
"peel, skin",the rind of a fruit or vegetable,قشرة,القشرة أو الغلاف الخارجي لفاكهة أو خضار
"dissolve, thaw, unfreeze, unthaw, dethaw, melt",become or cause to become soft or liquid,يذوب,تحويل شيء صلب إلى سائل عندما يسخن أو يتلامس مع سائل.
"hayfield, meadow",a field where grass or alfalfa are grown to be made into hay,حقل,مساحة من الأرض تُستخدم للزراعة أو الرعي، وغالبًا ما تُزرع فيها المحاصيل أو الأعشاب.
"beloved, darling, dear",dearly loved,عزيز,شخص ذو مكانة خاصة في القلب
"mistake, error, fault",a wrong action attributable to bad judgment or ignorance or inattention,خطأ,هو تصرف غير صحيح ينجم عن سوء التقدير أو الجهل أو الإهمال.
apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,تفاح,فاكهة ذات قشرة حمراء أو صفراء أو خضراء ولحم أبيض مقرمش يتراوح بين الحلاوة والحموضة.
"burn, combust",undergo combustion,احترق,يتعرض للاحتراق.
"burn, incinerate",cause to undergo combustion,أُحرق,يؤدي إلى الاحتراق.
ware,"articles of the same kind or material; usually used in combination: `silverware', `software'",سلعة,هي منتج أو مادة يتم إنتاجها لتلبية احتياجات المستهلكين، ويمكن تداولها أو بيعها.
"above, higher up, in a higher place, to a higher place",in or to a place that is higher,أعلى,في مكان أو مستوى مرتفع مقارنة بالموضع الآخر.
"shop, store",a mercantile establishment for the retail sale of goods or services,متجر,هو مكان تجاري يبيع السلع أو الخدمات مباشرة للمستهلكين.
spread,distribute over a surface in a layer,نشر,توزيع أو نشر شيء ما على مساحة معينة أو بين مجموعة من الأشخاص.
"green, greenish, light-green, dark-green",of the color between blue and yellow in the color spectrum; similar to the color of fresh grass,أخضر,هو لون يتوسط الأزرق والأصفر في طيف الألوان، ويُعتبر رمزًا للطبيعة والنمو والحيوية.
"overlord, master, lord",a person who has general authority over others,سيد,شخص لديه سلطة عامة على الآخرين.
berry,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves,توت,هو نوع من الفواكه الصغيرة، عادة ما تكون حلوة أو حامضة، وتأتي في ألوان متنوعة مثل الأحمر والأزرق والأسود. تُعتبر التوت مصدرًا غنيًا بالفيتامينات والألياف، وغالبًا ما تُستخدم في الحلويات والمربيات والعصائر.
jog,give a slight push to,هرول,الركض ببطء أو بسرعة معتدلة، وغالبًا ما يُمارس كنوع من التمارين الرياضية لتحسين اللياقة البدنية
oil,a slippery or viscous liquid or liquefiable substance not miscible with water,زيت,سائل دُهني، غالبًا ما يكون غير قابل للذوبان في الماء، يُستخدم في الطهي، الوقود، أو كمواد تشحيم.
shovel,a hand tool for lifting loose material; consists of a curved container or scoop and a handle,مجرفة,هي أداة تستخدم للحفر أو نقل المواد، مثل التربة أو الرمل، وتتكون عادةً من مقبض طويل ورأس مسطح أو مقعر. تُستخدم في الزراعة والبناء وأعمال الحدائق.
"north, due north, northward, n",the cardinal compass point that is at 0 or 360 degrees,شمال,الجهة الأساسية للبوصلة التي تتواجد عند 0 أو 360 درجة.
"dream, dreaming",a series of mental images and emotions occurring during sleep,حلم,سلسلة من الصور الذهنية والمشاعر التي تحدث أثناء النوم.
guard,to keep watch over,يحرس,مراقبة وحماية شيء أو شخص ما من المخاطر أو الأذى
"produce, make, create",create or manufacture a man-made product,ينتج,إنشاء أو تصنيع منتج من صنع الإنسان.
"east, due east, eastward, e",the cardinal compass point that is at 90 degrees,شرق,نقطة الاتجاه الأساسية التي تكون عند 90 درجة
"elk, european elk, moose, alces alces",large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America,الأيَل,غزال شمالي كبير ذو قرون مسطحة ضخمة في الذكور؛ يُطلق عليه 'الإلك' في أوروبا و'الموس' في أمريكا الشمالية.
"hit, strike, impinge on, run into, collide with",hit against; come into sudden contact with,يصطدم,أن يحدث تصادم بين جسمين أو أكثر، مما يؤدي إلى تأثير قوي بينهما.
cup,a small open container usually used for drinking; usually has a handle,كوب,وعاء صغير مفتوح يُستخدم عادة للشرب؛ وعادة ما يحتوي على مقبض.
"red, reddish, ruddy, blood-red, carmine, cerise, cherry, cherry-red, crimson, ruby, ruby-red, scarlet",of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies,أحمر,هو لون يقع في طيف الألوان، يُعتبر لونًا دافئًا وغالبًا ما يُرمز إلى الحب والشغف.
"south, due south, southward, s",the cardinal compass point that is at 180 degrees,جنوب,الاتجاه الجغرافي الرئيسي الذي يقع عند 180 درجة
"dog, domestic dog, canis familiaris",a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,كلب,"حيوان من جنس ""Canis"" (على الأرجح ناتج عن سلالة الذئب الشائع) الذي تم تدجينه بواسطة الإنسان منذ عصور ما قبل التاريخ؛ ويأتي في العديد من السلالات."
powerful,having great power or force or potency or effect,قوي,يمتلك قوة كبيرة أو تأثيرًا قويًا أو فعالية كبيرة.
"west, due west, westward, w",the cardinal compass point that is a 270 degrees,غرب,الاتجاه الجغرافي الرئيسي الذي يقع عند 270 درجة .
parent,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian,GAP,
"two, 2, ii",being one more than one,اثنان,هو عدد يدل على الكمية المزدوجة
"stingy, ungenerous",unwilling to spend,بخيل,غير مستعد للإنفاق.
"one, 1, i, ane",used of a single unit or thing; not two or more,واحد,هو عدد يدل على كمية مفردة أو وحدة فردية، ويستخدم للإشارة إلى شيء واحد فقط.
"four, 4, iv",being one more than three,أربعة,هو عدد يدل على الكمية التي تعادل أربعة
"three, 3, iii",being one more than two,ثلاثة,هو عدد يدل على الكمية التي تعادل ثلاثة
"six, 6, vi, half dozen, half-dozen",denoting a quantity consisting of six items or units,ستة,هو عدد يدل على الكمية التي تعادل ستة
"five, 5, v",being one more than four,خمسة,هو عدد يدل على الكمية التي تعادل خمسة
"eight, 8, viii",being one more than seven,ثمانية,هو عدد يدل على الكمية التي تعادل ثمانية
"seven, 7, vii",being one more than six,سبعة,هو عدد يدل على الكمية التي تعادل سبعة
"ten, 10, x",being one more than nine,عشرة,هو عدد يدل على الكمية التي تعادل عشرة
"nine, 9, ix",denoting a quantity consisting of one more than eight and one less than ten,تسعة,هو عدد يدل على الكمية التي تعادل تسعة
"twelve, 12, xii, dozen",denoting a quantity consisting of 12 items or units,اثنا عشر,هو عدد يدل على الكمية التي تعادل اثني عشر
way,any artifact consisting of a road or path affording passage from one place to another,طريق,أي عنصر يتكون من طريق أو مسار يتيح المرور من مكان إلى آخر.
"eleven, 11, xi",being one more than ten,أحد عشر,هو عدد يدل على الكمية التي تعادل أحد عشر
"revolve, go around, rotate",turn on or around an axis or a center,يدور,يدور حول محور أو مركز.
"twenty, 20, xx",denoting a quantity consisting of 20 items or units,عشرون,هو عدد يدل على الكمية التي تعادل عشرين
"lair, den",the habitation of wild animals,GAP,
"yellow, yellowish, xanthous",of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk,أصفر,هو لون ينتمي إلى طيف الألوان، يقع بين اللون الأخضر والبرتقالي، ويُعتبر لونًا دافئًا. يُستخدم لوصف الأشياء ذات اللون الأصفر مثل الزهور، والفاكهة، وبعض المعادن.
paw,a clawed foot of an animal especially a quadruped,كف,قدم مخلبية لحيوان، خاصةً رباعي الأرجل.
warm,having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat,دافئ,يشير إلى درجة حرارة مرتفعة قليلاً، تعطي شعورًا بالراحة والحرارة.
"divide, split, split up, separate, dissever, carve up",separate into parts or portions,يقسم,تقسيم شيء إلى أجزاء أو وحدات أصغر.
"thirty, 30, xxx",being ten more than twenty,ثلاثون,هو عدد يدل على الكمية التي تعادل ثلاثين
"teach, learn, instruct",impart skills or knowledge to,تعليم,عملية نقل المعرفة أو المهارات من شخص إلى آخر.
cool,neither warm nor very cold; giving relief from heat,بارد,درجة حرارة منخفضة أو شعور بالانتعاش
"downstairs, down the stairs, on a lower floor, below",on a floor below,أسفل,موقع أو اتجاه نحو الأسفل أو إلى الطابق الأدنى.
"forty, 40, xl, twoscore",being ten more than thirty,أربعون,هو عدد يدل على الكمية التي تعادل أربعين
"fire, flame, flaming",the process of combustion of inflammable materials producing heat and light and (often) smoke,نار,الظاهرة الناتجة عن الاحتراق، حيث ينتج عنها حرارة وضوء.
message,a communication (usually brief) that is written or spoken or signaled,رسالة,تواصل (عادة ما يكون مختصرًا) يُكتب أو يُقال أو يُشير إليه.
"down, downwards, downward, downwardly",spatially or metaphorically from a higher to a lower level or position,أسفل,موقع أو اتجاه نحو الجزء السفلي أو الأدنى من شيء ما، ويمكن أن يُستخدم بشكل مكاني أو مجازي.
sharpen,make sharp or sharper,شحذ، سنّ ، حَدّ ,جعل شيء حادًا أو أكثر دقة، مثل شحذ السكاكين أو الأقلام.
"grey, gray, greyish, grayish",of an achromatic color of any lightness intermediate between the extremes of white and black,رمادي,هو لون يقع بين الأسود والأبيض، ويستخدم لوصف الأشياء ذات هذا اللون، مثل السحب أو الصخور.
"up, upwards, upward, upwardly",spatially or metaphorically from a lower to a higher position,أعلى,موقع أو اتجاه نحو الجزء العلوي أو المستوى المرتفع من شيء ما.
"fifty, 50, l",being ten more than forty,خمسون,هو عدد يدل على الكمية التي تعادل خمسين
well,a deep hole or shaft dug or drilled to obtain water or oil or gas or brine,بئر,حُفرة عميقة تُحفر في الأرض للوصول إلى المياه أو الموارد الأخرى.
horn,one of the bony outgrowths on the heads of certain ungulates,قرن ,هو هيكل صلب يبرز من رأس بعض الحيوانات، مثل الثور أو الغزال، ويستخدم للدفاع أو للعرض.
"sixty, 60, lx, threescore",being ten more than fifty,ستون,هو عدد يدل على الكمية التي تعادل ستون
rub,move over something with pressure,افرك,الضغط على سطح شيء والتحرك ذهابًا وإيابًا
"fix, prepare, set up, ready, gear up, set","make ready or suitable or equip in advance for a particular purpose or for some use, event, etc",جهز,عملية تجهيز شيء ما أو الإعداد لشيء معين.
"citizenry, people",the body of citizens of a state or country,الشعب,مجموعة الأفراد الذين يعيشون في دولة معينة ويكون لهم حقوق وواجبات.
"song, vocal",a short musical composition with words,أغنية,قطعة موسيقية تُؤدى بصوت، ويمكن أن تتضمن كلمات وألحان.
"paddle, boat paddle",a short light oar used without an oarlock to propel a canoe or small boat,مجذاف,هو أداة تُستخدم لدفع القوارب في الماء، وغالبًا ما تكون مصنوعة من الخشب أو البلاستيك.
good,having desirable or positive qualities especially those suitable for a thing specified,جيد,شيء يتمتع بجودة عالية أو قيمة إيجابية، ويستخدم لوصف الأشخاص، الأشياء، أو الأفعال التي تُعتبر مُرضية أو مفيدة.
"seventy, 70, lxx",being ten more than sixty,سبعون,هو عدد يدل على الكمية التي تعادل سبعين
"travel rapidly, speed, hurry, zip",move very fast,يسرع,التحرك أو الانتقال بسرعة.
"snake, serpent, ophidian",limbless scaly elongate reptile; some are venomous,ثعبان,نوع من الزواحف الطويلة ذات الجسم الانسيابي
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light,أسود,هو لون يعبر عن الظلام، وغالبًا ما يُستخدم لوصف الأشياء التي ليس لها لون أو التي تمتص جميع الألوان.
white,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light,أبيض,هو لون يُشير إلى النقاء والوضوح، وغالبًا ما يرتبط بالثلج والحليب والأشياء النظيفة.
bad,having undesirable or negative qualities,سيء,شيء غير جيد أو غير مرضٍ، ويمكن أن يُستخدم لوصف الجودة أو السلوك أو الحالة.
"eighty, 80, lxxx, fourscore",being ten more than seventy,ثمانون,هو عدد يدل على الكمية التي تعادل ثمانين
paint,a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating,دهان,هو مادة سائلة تُستخدم لتغطية الأسطح وإضفاء لون أو حماية عليها، وغالبًا ما تُستخدم في الطلاء الداخلي والخارجي للمنازل والأثاث.
ski,narrow wood or metal or plastic runners used in pairs for gliding over snow,زلاجة,هي أداة تُستخدم في التزلج على الثلج، وهي مصنوعة عادة من الخشب أو الألياف الزجاجية، وتساعد على الانزلاق على السطح الثلجي.
"first, firstly, foremost, first of all, first off",before anything else,أولاً,ترتيب أو أولوية شيء ما، وتُستخدم لتقديم الفكرة أو العنصر الأول في قائمة أو مجموعة.
"ninety, 90, xc",being ten more than eighty,تسعون,هو عدد يدل على الكمية التي تعادل تسعين
"silence, quiet",the absence of sound,صمت,حالة عدم وجود الصوت أو الضجيج
"dart, dash, scoot, scud, flash, shoot",run or move very quickly or hastily,اندفع,الحركة السريعة أو الانطلاق المفاجئ.
"hundred, one hundred, 100, c",being ten more than ninety,مئة,هو عدد يدل على الكمية التي تعادل مائة
tree,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms,شجرة,هي نبات خشبي يتميز بجذع قوي وفروع، ويُعتبر جزءًا هامًا من البيئة حيث يوفر الأكسجين والظل.
bed,a piece of furniture that provides a place to sleep,سرير,هو قطعة أثاث تُستخدم للنوم والراحة، وعادة ما تتكون من إطار ومفروشات مثل المرتبة والبطانيات.
"pasture, pastureland, grazing land, lea, ley",a field covered with grass or herbage and suitable for grazing by livestock,مرعى,الأراضي المستخدمة لتغذية الحيوانات، حيث تنمو فيها الأعشاب والنباتات.
"ill, sick",affected by an impairment of normal physical or mental function,مريض,متأثر بضعف في الوظيفة الجسدية أو العقلية الطبيعية.
liver,large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes,الكبد,هو عضو غدي كبير ومعقد يقع في الجزء العلوي الأيمن من البطن، ويؤدي وظائف مهمة مثل إنتاج العصارة الصفراوية، استقلاب البروتينات والكربوهيدرات والدهون، تصنيع مواد التجلط، إنتاج فيتامين A، وتنقية السموم من الجسم.
evil,morally bad or wrong,شرير,سيء أخلاقياً أو خاطئ.
"chop, chop up",cut into pieces,يقطع,تقسيم شيء إلى قطع صغيرة.
"newspaper, paper",a daily or weekly publication on folded sheets; contains news and articles and advertisements,صحيفة,هي مطبوعة دورية تحتوي على أخبار ومقالات.
"peak, crown, crest, top, tip, summit",the top point of a mountain or hill,قمة,أعلى نقطة أو جزء في شيء ما، مثل قمة الجبل.
"ripe, mature",fully developed or matured and ready to be eaten or used,ناضج,مطور بالكامل أو ناضج وجاهز للأكل أو الاستخدام.
"construct, build, make",make by combining materials and parts,يصنع,تحويل المواد إلى منتج جديد.
slab,block consisting of a thick piece of something,لوح,قطعة سميكة ومستوية من مادة معينة.
"father, male parent, begetter",a male parent (also used as a term of address to your father),أب,الوالد الذكر الذي ينجب أو يربي طفلاً.
