Lemma,Gloss,Persian lemmas (or gap),Persian Gloss
short,(primarily spatial sense) having little length or lacking in length,کوتاه,کوچک یا کوچکتر از حد متوسط یک چیز و نسبت به آن‌چه از آن انتظار می‌رود
"get down, begin, get, start out, start, set about, set out, commence",take the first step or steps in carrying out an action,"شروع کردن، آغاز کردن",برداشتن اولین قدم یا اولین قدم‌های انجام یک کار
work,exert oneself by doing mental or physical work for a purpose or out of necessity,کار,انجام عملیات ذهنی یا فیزیکی با هدفی خاص یا به دلیل ضرورت
age,how long something has existed,"سن، عمر",مدت زمان زنده بودن یک چیز
"lead, take, direct, conduct, guide",take somebody somewhere,"بردن، هدایت کردن، سوق دادن، راهنمایی کردن، راندن",منتقل کردن یا باعث منتقل شدن کسی به جایی
"doctor, doc, physician, md, dr., medico",a licensed medical practitioner,"دکتر، پزشک، طبیب",شخصی که به درمان دیگران می‌پردازد و برای این کار مجوز دارد
gun,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel),تفنگ,سلاحی که گلوله‌ای را با سرعت بالا پرتاب می‌کند (به‌ویژه لوله فلزی)
"begin, lead off, start, commence","set in motion, cause to start","شروع کردن، آغاز کردن، به راه انداختن","به حرکت درآوردن، دلیل اتفاق افتادن مقدمه"
breath,the process of taking in and expelling air during breathing,"نفس، دم",فرایندی که در آن هوا به بدن جذب می‌شود و سپس خارج می‌شود
bull,uncastrated adult male of domestic cattle,gap,گاو نر بالغ اخته نشده
"cow, moo-cow",female of domestic cattle,gap,گاو ماده اهلی
"brawl, wrangle","to quarrel noisily, angrily or disruptively","دعوا کردن، نزاع کردن، سروصدا کردن","مجادله با سر و صدا، عصبانیت یا ایجاد مزاحمت"
play,be at play; be engaged in playful activity; amuse oneself in a way characteristic of children,بازی کردن,سرگرم شدن با استفاده از بازی; مشغول فعالیت بازی مانند شدن; سرگرم کردن به روش کودکان
noise,sound of any kind (especially unintelligible or dissonant sound),"صدا، نویز، صدای خش خش",هرنوع صدا (مخصوصا صدای نامفهوم یا ناموزون)
"swallow, get down",pass through the esophagus as part of eating or drinking,"قورت دادن، بلعیدن",پایین رفتن از حلق به عنوان بخشی از خوردن یا آشامیدن
"country, state, land",the territory occupied by a nation,"کشور، سرزمین، مملکت",مکانی که توسط یک ملت اشغال شده است
onion,an aromatic flavorful bulb,پیاز,گیاهی که جزو تک لپه‌ای‌ها است و برگ‌هایش استوانه‌ای و نوک تیز و تو خالی و گلهایش سفید و چتری است
"earlier, before",earlier in time; previously,"قبلا، قبل تر",زودتر از لحاظ زمانی; قبل از الآن
"noose, running noose, slip noose",a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled,gap,حلقه‌ای که در یک بند یا طناب با گره‌ای خاص تشکیل می‌شود و با کشیدن بند آن محکم‌تر می‌شود و معمولا برای اعدام استفاده می‌شود
"subsequently, later, afterwards, afterward, after, later on",happening at a time subsequent to a reference time,"متعاقبا، پس از آن، بعد از آن",در زمانی پس از زمان فرض شده
"arrive, get, come",reach a destination; arrive by movement or progress,"رسیدن، آمدن","به یک مقصد رفتن، رسیدن به وسیله حرکت یا پیشرفت"
"suddenly, all of a sudden, of a sudden",happening unexpectedly,"ناگهان، یکهو",اتفاق افتادن به شکلی غیرمنتظره
"let, allow, permit",make it possible through a specific action or lack of action for something to happen,"اجازه دادن، گذاشتن","از طریق یک عمل خاص یا عمل اقدام، امکان وقوع چیزی یا کاری را فراهم کردن"
touch,"make physical contact with, come in contact with","لمس کردن، دست زدن",ایجاد برخورد فیزیکی
pick up,take up by hand,"برداشتن، بلند کردن",حرکت دادن از روی زمین و گرفتن در دست
bag,a flexible container with a single opening,کیسه,چیزی انعطاف پذیر با یک ورودی جهت قرار اجسام داخل آن
cradle,a baby bed with sides and rockers,گهواره,مهد و بستری که کودکان را در آن می‌گذارند و می‌خوابانند و می‌توان به آسانی آن را حرکت داد و جنباند
"die, decease, perish, go, exit, pass away, expire, pass, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it",pass from physical life and lose all bodily attributes and functions necessary to sustain life,"مردن، جان دادن، فوت کردن، درگذشتن، از بین رفتن، هلاک شدن، نابود شدن، جان باختن، دار فانی را وداع گفتن",گذر از زندگی مادی و از دست دادن تمام ویژگی‌ها و عملکردهای لازم بدنی برای حفظ زندگی
full,containing as much or as many as is possible or normal,"پر، کامل",حاوی تا آن میزان که ممکن یا طبیعی است
news,new information of any kind,اخبار,اطلاعات جدید در هر قالب
be born,come into existence through birth,"متولد شدن، به دنیا آمدن",به وجود آمدن به وسیله تولد
sheep,woolly usually horned ruminant mammal related to the goat,گوسفند,از حیوانات پستاندار اهلی و علفخوار که سم دارد و از شیر و پشم و پوست او استفاده می‌کنند و گوشت او از غذاهای اصلی انسان است و شاخ دارد و شبیه بز است
"ahead, in front, before",at or in the front,"جلو، رو به رو، مقابل",به سمتی که رو به آن قرار داریم; متضاد پشت
"ahead, onward, onwards, forward, forwards, forrader",in a forward direction,"رو به جلو، به پیش، به طرف جلو",در یک جهت مستقیم و رو به جلو
thunder,a booming or crashing noise caused by air expanding along the path of a bolt of lightning,"تندر، رعد، رعد و برق",صدای بوم و غرش‌آمیزی که به دلیل انبساط هوا در مسیر رعد و برق ایجاد می‌شود
empty,holding or containing nothing,"خالی، تهی",دارا یا حاوی هیچ چیز
"separate, part, split up, split, break, break up",discontinue an association or relation; go different ways,جدا شدن,ادامه ندادن یک رابطه یا مشارکت; به راه‌های مختلف رفتن
"blind, unsighted",unable to see,"کور، نابینا",ناتوان در دیدن
"exit, go out, get out, leave",move out of or depart from,"خارج شدن، بیرون رفتن، ترک کردن",حرکت کردن به بیرون
"enter, come in, get into, get in, go into, go in, move into",to come or go into,"وارد شدن، داخل رفتن",آمدن یا رفتن به درون جایی
"take, get hold of","get into one's hands, take physically",گرفتن,"در دست نگه داشتن، به صورت جسمانی نگه داشتن"
shelf,a support that consists of a horizontal surface for holding objects,"قفسه، تاقچه",تکیه‌گاهی تشکیل شده از یک سطح افقی جهت نگه داشتن اجسام
"grasp, hold on",hold firmly,gap,محکم نگه داشتن
precious,of high worth or cost,"گرانبها، قیمتی، نفیس، با ارزش",دارای قیمت یا ارزش بالا
"call, send for","order, request, or command to come","فراخواندن، صدا زدن","درخواست، دستور یا خواهش برای آمدن"
"hold, take hold",have or hold in one's hands or grip,نگه داشتن,در دست گرفتن
"home, place",where you live at a particular time,"خانه، منزل، اقامتگاه",مکانی که درحال حاضر در آن زندگی می‌کنید
uncle,the brother of your father or mother; the husband of your aunt,gap,برادر یکی از والدین
desire,an inclination to want things,"میل، تمایل",رغبت و گرایش داشتن چیزها
"crockery, dishware",tableware (eating and serving dishes) collectively,ظروف,جمع ظرف; ظرف‌های غذاخوری به هر شکلی
"forward, forwards, frontward, frontwards, forrad, forrard",at or to or toward the front,"جلو، رو به جلو، به طرف جلو",به سمت مقابل
"back, backward, backwards, rearward, rearwards",at or to or toward the back or rear,"عقب، پشت",به سمت متضاد جلو
"blue, bluish, blueish",of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky,"آبی، آبی رنگ",رنگ میانی سبز و بنفش; رنگی مشابه آسمان صاف و بدون ابر
"handle, grip, handgrip, hold",the appendage to an object that is designed to be held in order to use or move it,"دسته، دستگیره",یک جسم اضافی و زائده بر روی یک چیز که جهت نگه داشتن آن چیز یا حرکت دادن آن با دست استفاده می‌شود
pointed,having a point,"تیز، نوک‌دار",دارای نوک باریک
end,a boundary marking the extremities of something,"پایان، آخر، عاقبت",مرزی که انتهای چیزی را مشخص می‌کند
shirt,a garment worn on the upper half of the body,پیراهن,لباس نازک و کوتاه مردانه یا جامه نازک و بلند زنانه که برای پوشش بالاتنه استفاده می‌شود
meet,meet by design; be present at the arrival of,"ملاقات کردن، جلسه داشتن",رو به رو شدن یا دیدن یکدیگر
"backward, backwards",in a manner or order or direction the reverse of normal,"برعکس، وارونه",به شیوه یا ترتیب یا جهت برعکس حالت عادی و معمول
"meet, run into, encounter, run across, come across, see",come together,"ملاقات کردن، دیدن، مواجه شدن، رو به رو شدن",پیش هم بودن
freeze,change to ice,"منجمد شدن، یخ زدن",تبدیل به یخ شدن
shoe,footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material,کفش,پوششی متناسب با پا (زیر مچ) با رویه انعطاف‌پذیر از جنس چرم یا پلاستیک و دارای کفی و پاشنه‌ای که از موادی سنگین‌تر ساخته شده‌اند
"flip, flip over, turn over","turn upside down, or throw so as to reverse","برگرداندن، برعکس کردن، وارونه کردن",چرخاندن به صورت بالا به پایین
"current, stream",a steady flow (usually from natural causes),جریان,یک حرکت و روند ثابت (معمولا به دلایل طبیعی)
boil,come to the boiling point and change from a liquid to vapor,"جوشدن، به جوش آوردن",رسیدن به نقطه جوش و تغییر از مایع به بخار
"peel, skin",the rind of a fruit or vegetable,پوست,قسمتی از ساختمان گیاهان که خارجی‌ترین قسمت اندامها را تشکیل می‌دهد و اندام‌های دیگر گیاهی را می‌پوشاند
"dissolve, thaw, unfreeze, unthaw, dethaw, melt",become or cause to become soft or liquid,"آب کردن، گذاختن، ذوب کردن",باعث نرم یا مایع شدن یک چیز شدن
"hayfield, meadow",a field where grass or alfalfa are grown to be made into hay,"مرغزار، چمنزار، علفزار",زمینی که در آن علف یا یونجه رشد می‌کنند
"beloved, darling, dear",dearly loved,"عزیز، محبوب، گرامی",گرامی و محبوب
"mistake, error, fault",a wrong action attributable to bad judgment or ignorance or inattention,"اشتباه، خطا",حرکت نادرستی که به دلیل قضاوت بد یا جهل یا بی‌توجهی انجام می‌شود
apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,سیب,میوه‌ای که پوستی قرمز یا سبز یا زرد دارد و شیرین یا ترش است و محتویات آن ترد و سفید است
"burn, combust",undergo combustion,"سوختن، دچار احتراق شدن",آتش گرفتن و مشتعل شدن
"burn, incinerate",cause to undergo combustion,سوزاندن,آتش زدن و مشتعل کردن
ware,"articles of the same kind or material; usually used in combination: `silverware', `software'",اجناس,"محصولاتی از یک نوع یا مواد، معمولا در ترکیب با باقی کلمات استفاده می‌شود مانند ""اجناس شیشه‌ای"""
"above, higher up, in a higher place, to a higher place",in or to a place that is higher,"بالا، فوق، بالاتر، در یک مکان بلندتر، به یک مکان بلندتر",در یک مکان بلندتر
"shop, store",a mercantile establishment for the retail sale of goods or services,"مغازه، فروشگاه",یک موسسه تجاری برای خرده فروشی کالا یا خدمات
spread,distribute over a surface in a layer,"پخش کردن، پهن کردن",توزیع کردن بر روی یک سطح به صورت یک لایه
"green, greenish, light-green, dark-green",of the color between blue and yellow in the color spectrum; similar to the color of fresh grass,"سبز، سبز رنگ",رنگی که در طیف رنگی میان آبی و زرد است; رنگی همانند رنگ چمن تازه
"overlord, master, lord",a person who has general authority over others,"ارباب، سرور",شخصی که نسبت به دیگران اختیار دارد
berry,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves,توت,میوه‌هایی کوچک که انواع متعددی دارند و به عنوان دسر یا در تهیه مربا و ژله از آن‌ها استفاده می‌شود
jog,give a slight push to,gap,هل دادن به مقدار اندک
oil,a slippery or viscous liquid or liquefiable substance not miscible with water,روغن,یک مایع لغزنده و چسبناک که با آب مخلوط نمی‌شود
shovel,a hand tool for lifting loose material; consists of a curved container or scoop and a handle,"بیل، پارو،‌ بیلچه",ابزار دستی‌ای برای بلند کردن مواد ریز و کوچک; یک وسیله مانند ظرف یا قاشق
"north, due north, northward, n",the cardinal compass point that is at 0 or 360 degrees,شمال,نقطه ۰ یا ۳۶۰ درجه قطب‌نما
"dream, dreaming",a series of mental images and emotions occurring during sleep,"رویا، رویا دیدن، خواب، خواب دیدن",مجموعه‌ای از تصاویر ذهنی و احساسی که معمولا درطول خواب اتفاق می‌افتد
guard,to keep watch over,"نگهبانی کردن، محافظت کردن، پاسبانی کردن",مراقبت کردن از چیزی
"produce, make, create",create or manufacture a man-made product,"تولید کردن، ایجاد کردن، ساختن، درست کردن، به وجود آوردن، خلق کردن",ایجاد یا تولید یک محصول که در طبیعت وجود ندارد
"east, due east, eastward, e",the cardinal compass point that is at 90 degrees,شرق,نقطه ۹۰ درجه قطب‌نما
"elk, european elk, moose, alces alces",large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America,gap,گوزن بزرگ شمالی‌ای که نرهای آن شاخ‌های پهن بزرگی دارند.
"hit, strike, impinge on, run into, collide with",hit against; come into sudden contact with,"ضربه زد، زد، خورد",برخورد و تماس ناگهانی با چیزی
cup,a small open container usually used for drinking; usually has a handle,"فنجان، جام",یک ظرف باز کوچک که معمولا برای نوشیدن استفاده می‌شود و معمولا دسته دارد
"red, reddish, ruddy, blood-red, carmine, cerise, cherry, cherry-red, crimson, ruby, ruby-red, scarlet",of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies,"قرمز، سرخ، مایل به قرمز، گلگون، گیلاسی، زرشکی، یاقوت‌رنگ",از رنگ‌های انتهای طیف رنگ‌ها (درکنار نارنجی) که شبیه رنگ خون یا گیلاس یا گوجه یا یاقوت است
"south, due south, southward, s",the cardinal compass point that is at 180 degrees,جنوب,نقطه ۱۸۰ درجه قطب‌نما
"dog, domestic dog, canis familiaris",a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,سگ,پستانداری از راسته گوشتخواران که سردسته تیره خاصی به نام تیره سگ سانان است و احتمالا از نسل گرگ است که از دوران ماقبل تاریخ توسط انسان‌ها اهلی شده است و نژادهای فراوانی دارد
powerful,having great power or force or potency or effect,"قدرتمند، قوی، نیرومند",دارای قدرت یا نیرو یا توانایی یا اثر زیاد
"west, due west, westward, w",the cardinal compass point that is a 270 degrees,غرب,نقطه ۲۷۰ درجه قطب‌نما
parent,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian,والد,مادر یا پدر; کسی که فرزند از او متولد شده است; خویشاوندی که نقش قیم را ایفا می‌کند
"two, 2, ii",being one more than one,"دو، ۲",یکی بیشتر از یک
"stingy, ungenerous",unwilling to spend,"خسیسانه، ناسخاوتمندانه",کسی که حاضر به خرج کردن نیست
"one, 1, i, ane",used of a single unit or thing; not two or more,"یک، ۱","یک واحد یا چیز، کمتر از ۲ و بیشتر از هیچ"
"four, 4, iv",being one more than three,"چهار، ۴",یک عدد بیشتر از ۳
"three, 3, iii",being one more than two,"سه، ۳",یک عدد بیشتر از ۲
"six, 6, vi, half dozen, half-dozen",denoting a quantity consisting of six items or units,"شش، ۶",بیانگر مقدار ۶ واحد
"five, 5, v",being one more than four,"پنج، ۵",یک عدد بیشتر از ۴
"eight, 8, viii",being one more than seven,"هشت، ۸",یک عدد بیشتر از ۷
"seven, 7, vii",being one more than six,"هفت، ۷",یک عدد بیشتر از ۶
"ten, 10, x",being one more than nine,"ده، ۱۰",یک عدد بیشتر از ۹
"nine, 9, ix",denoting a quantity consisting of one more than eight and one less than ten,"نه، ۹",یک عدد بیشتر از ۸ و یک عدد کمتر از ۱۰
"twelve, 12, xii, dozen",denoting a quantity consisting of 12 items or units,"دوازده، ۱۲، دوجین",بیانگر مقدار ۱۲ واحد
way,any artifact consisting of a road or path affording passage from one place to another,"راه، روش، مسیر، طریق، نحوه، طرز، طور",هر نوع شیوه جهت انجام یک کار یا رفتن از جایی به جایی دیگر
"eleven, 11, xi",being one more than ten,"یازده، ۱۱",یک عدد بیشتر از ۱۰
"revolve, go around, rotate",turn on or around an axis or a center,"چرخیدن، دور زدن، گردش کردن، چرخ زدن",دور یک محور یا مرکز حرکت کردن
"twenty, 20, xx",denoting a quantity consisting of 20 items or units,"بیست، ۲۰",بیانگر مقدار ۲۰ واحد
"lair, den",the habitation of wild animals,لانه,محل سکونت حیوانات وحشی
"yellow, yellowish, xanthous",of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk,"زرد، زردرنگ، زردفام",رنگ میانی سبز و نارنجی در طیف رنگی; چیزی همانند رنگ زرده تخم مرغ
paw,a clawed foot of an animal especially a quadruped,پنجه,پای چنگال‌دار یک حیوان خصوصا حیوانات چهارپا
warm,having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat,گرم,دارا یا تولیدکننده یک درجه گرمای تقریبا مناسب و مطلوب یا منتقل دهنده و حافظ گرما
"divide, split, split up, separate, dissever, carve up",separate into parts or portions,"تقسیم کردن، قسمت کردن، مجزا کردن",قطعه قطعه کردن به چند بخش یا قسمت
"thirty, 30, xxx",being ten more than twenty,"سی، ۳۰",۱۰ تا بیشنر از ۲۰
"teach, learn, instruct",impart skills or knowledge to,"آموزش دادن، یاد دادن، تعلیم دادن",به اشتراک گذاری مهارت یا دانش به
cool,neither warm nor very cold; giving relief from heat,خنک,نه گرم نه خیلی سرد; احساس آرامش نبود گرما
"downstairs, down the stairs, on a lower floor, below",on a floor below,طبقه پایین,یک طبقه پایینتر
"forty, 40, xl, twoscore",being ten more than thirty,"چهل، ۴۰",۱۰ تا بیشتر از ۳۰
"fire, flame, flaming",the process of combustion of inflammable materials producing heat and light and (often) smoke,"آتش، شعله",فرایند احتراق مواد قابل اشتعال که معمولا باعث تولید گرما و نور و معمولا دود می‌شود
message,a communication (usually brief) that is written or spoken or signaled,پیام,نوعی ارتباط (معمولا کوتاه) که به‌صورت مکتوب یا گفتاری یا سیگنالی است
"down, downwards, downward, downwardly",spatially or metaphorically from a higher to a lower level or position,پایین,سطح یا موقعیتی با ارتفاع کمتر از لحاظ مکانی یا استعاری
sharpen,make sharp or sharper,تیز کردن,تیز یا تیزتر کردن یک چیز
"grey, gray, greyish, grayish",of an achromatic color of any lightness intermediate between the extremes of white and black,"خاکستری، توسی",رنگی بدون رنگ که به انواع رنگ‌های میان سفید و سیاه گفته می‌شود
"up, upwards, upward, upwardly",spatially or metaphorically from a lower to a higher position,بالا,سطح یا موقعیتی با ارتفاع بیشتر از لحاظ مکانی یا استعاری
"fifty, 50, l",being ten more than forty,"پنجاه، ۵۰",۱۰ تا بیشتر از ۴۰
well,a deep hole or shaft dug or drilled to obtain water or oil or gas or brine,چاه,چاله یا سوراخی عمیق که جهت کسب آب یا گاز یا نفت حفر می‌شود
horn,one of the bony outgrowths on the heads of certain ungulates,شاخ,برآمدگی‌ای استخوانی که بر روی سر برخی حیوانات مانند گاو و گوسفند و گوزن وجود دارد
"sixty, 60, lx, threescore",being ten more than fifty,"شصت، ۶۰",۱۰ تا بیشتر از ۵۰
rub,move over something with pressure,مالیدن,دست کشیدن روی چیزی یا چیزی را در دست مکرر فشار دادن
"fix, prepare, set up, ready, gear up, set","make ready or suitable or equip in advance for a particular purpose or for some use, event, etc","آماده کردن، فراهم نمودن، تدارک دیدن",مهیا کردن یا مناسب ساختن یا تجهیز کردن از قبل برای یک هدف یا استفاده خاص
"citizenry, people",the body of citizens of a state or country,gap,گروهی از شهروندان یک شهر یا کشور
"song, vocal",a short musical composition with words,"ترانه، سرود، شعر، آواز",یک موسیقی کوتاه که با کلمات ایجاد شده است
"paddle, boat paddle",a short light oar used without an oarlock to propel a canoe or small boat,پارو,یک پارو سبک و کوتاه که برای به حرکت درآوردن قایق استفاده می‌شود
good,having desirable or positive qualities especially those suitable for a thing specified,خوب,دارای صفات پسندیده یا مثبت به ویژه آن‌هایی که برای یک چیز خاص مناسب باشند
"seventy, 70, lxx",being ten more than sixty,"هفتاد، ۷۰",۱۰ تا بیشتر از ۶۰
"travel rapidly, speed, hurry, zip",move very fast,gap,حرکت با سرعت زیاد
"snake, serpent, ophidian",limbless scaly elongate reptile; some are venomous,"مار، افعی",خزنده دراز دارای فلس و بدون دست و پا; برخی از آن‌ها سمی هستند
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light,"سیاه، مشکی، تیره",رنگی که درواقع در نبود رنگ‌ها ایجاد می‌شود و بیشترین مقدار تاریکی ممکن است و در حالت خالص خود تمام نور‌ها را جذب می‌کند
white,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light,سفید,رنگی که درواقع درصورت موجود بودن تمامی طیف‌های رنگی ایجاد می‌شود و بیشترین مقدار روشنایی ممکن است و در حالت خالص خود تمام نورها را منعکس می‌کند
bad,having undesirable or negative qualities,بد,دارای خصوصیات نامطلوب یا منفی
"eighty, 80, lxxx, fourscore",being ten more than seventy,"هشتاد، ۸۰",۱۰ تا بیشتر از ۷۰
paint,a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating,رنگ,ماده‌ای که جهت پوشش یا محافظت یا تزئین یک سطح استفاده می‌شود (معمولا در ابتدا مایع است); وقتی خشک می‌شود یک پوشش سخت ایجاد می‌کند
ski,narrow wood or metal or plastic runners used in pairs for gliding over snow,اسکی,چوبی که برای سر خوردن روی برف به پا می‌بندند; یکی از وسایل ورزش روی برف که ایستاده سر می‌خورند
"first, firstly, foremost, first of all, first off",before anything else,"اول از همه، اول، در درجه اول، قبل از هر چیز",پیش از هر چیز دیگر
"ninety, 90, xc",being ten more than eighty,"نود، ۹۰",۱۰ تا بیشتر از ۸۰
"silence, quiet",the absence of sound,"سکوت، ساکت",نبودن صدا
"dart, dash, scoot, scud, flash, shoot",run or move very quickly or hastily,gap,حرکت تند و سریع و با عجله زیاد
"hundred, one hundred, 100, c",being ten more than ninety,"صد، ۱۰۰",۱۰ تا بیشتر از ۹۰
tree,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms,درخت,یک گیاه بلند چوبی که عمر نسبتا طولانی‌ای دارد و دارای ریشه و تنه اصلی و شاخه‌هایی است که معمولا یک حالت تاج‌مانند مرتفع را ایجاد می‌کنند
bed,a piece of furniture that provides a place to sleep,"تخت، بستر، رختخواب",یکی از اسباب خانه که به عنوان مکانی برای خوابیدن استفاده می‌شود
"pasture, pastureland, grazing land, lea, ley",a field covered with grass or herbage and suitable for grazing by livestock,"مرتع، علفزار، چراگاه، چمنزار",زمینی پوشیده از علف و مناسب برای چرای دام‌ها
"ill, sick",affected by an impairment of normal physical or mental function,"بیمار، مریض",کسی که تحت تاثیر اختلال در عملکرد طبیعی جسمانی یا ذهنی خود باشد
