Indonesian Lemma,Indonesian Definition,Banjarese Lemma,Banjarese Definition
gula ganting,gula yang kental; gula yang pekat,GAP,
kornet,"daging (lembu) yg diawetkan
dl kaleng",GAP,
daging kaleng,daging yang telah diolah dan dimasukkan ke dalam kaleng tertutup dengan tujuan mengawetkan,GAP,
ransum,pembagian makanan yg sudah ditentukan ukurannya untuk setiap orang,GAP,
ubi kayu,singkong; ketela kayu,gumbili kayu,"Ubi nang memiliki kulit yang keras dan daging yang berwarna putih atau kuning, ubi ini rancak di pakai gasan maulah kripik"
pilsener,bir dengan kadar alkohol rendah,GAP,
adas manis,"tanaman palawija yang buahnya dipakai sebagai obat, rasa dan baunya sedap (Pimpinella anisum)",adas manis,
jagung titi,makanan yang terbuat dari jagung yang ditumbuk,jagung titi,"jagung nang dikeringkan dan digiling halus hingga menjadi bubuk. Biasanya, jagung titi digunakan dalam berbagai masakan tradisional sebagai bahan tambahan untuk memberikan rasa dan tekstur"
tomat,"tanaman sayuran, batang dan daunnya berbulu halus, buah yg muda berwarna hijau, jika masak berwarna merah, dimakan mentah atau disayur; terung bali; Solanum lycopersicum",tomat,buah bulat nang bawarna habang
susu kental,susu yang dikentalkan dan diberi gula,susu kental,susu nang betekstur kental bawarna putih atawa cuklat
kedelai,"tumbuhan kacang-kacangan yang dibudidayakan sebagai tanaman pangan, berbuah kecil-kecil, berwarna hitam atau kuning keputih-putihan, (biasa untuk bahan membuat tahu, tempe, susu, dan sebagainya) daunnya agak kasar dan berbulu halus",GAP,
ravioli,"pasta berbentuk persegi yang berisi daging, keju, dan sayuran",ravioli,"pasta Italia yang terdiri dari dua lembar adonan tipis yang diisi dengan bahan seperti daging, keju, atau sayuran, kemudian dipotong menjadi bentuk segi empat atau bulat"
jeruk kates,"jeruk yang bentuknya memanjang dan ujungnya berbentuk puting, kulitnya berwarna kuning kehijauan, tebalnya kira-kira 2,5 cm; jeruk pepaya (Citrus papaya)",GAP,
pastri,"makanan yang terbuat dari adonan berlemak tinggi dengan isian krim, selai, atau buah, seperti sus",pastri,"adonan tepung yang dipanggang, sering kali dengan isian atau topping seperti krim, buah, atau daging"
ubi kelapa,"terna memanjat yang tingginya mencapai 10 m, batangnya bersegi, daunnya berhadapan dan membundar telur, tangkainya bersayap empat, perbungaannya aksiler dan menggantung, jantan dan betina terpisah, buahnya berbentuk kapsul, biji membulat, bersayap, umbinya berbentuk beragam (membulat, pipih panjang atau menjari), dagingnya berwarna putih ungu atau kuning gading, di beberapa daerah digunakan sebagai bahan pangan utama (Dioscorea alata L.) ",gumbili kelapa,"ubi yang diparut, dicampur dengan kelapa parut, dan biasanya dimasak atau dipanggang hingga matang"
kacang-kacangan,segala jenis kacang,kacang-kacangan,biji-bijian
teh kampung,"tanaman perdu yang tajuknya rapat, padat, dan kuat, biasanya dipakai sebagai pagar atau tanaman hias dengan membentuknya menjadi pola-pola tertentu, daunnya dapat dimanfaatkan sebagai obat penurun panas, penyakit usus, dan gangguan ginjal; teh-tehan (Acalyoha siamensis)",GAP,
tegal,"ikan yg hidup di air payau atau laut, Megalaspis cordyla",GAP,
wijen,"tumbuhan suku biji-bijian dng tinggi dua meter, buahnya berbentuk kotak lonjong, bijinya kecil-kecil mengandung minyak untuk minyak goreng, margarine, dsb; Sesamum orientale",GAP,
ham,bagian atas dr kaki dan bagian belakang dr paha hewan yg terutama diambil dagingnya untuk dimakan,GAP,
espreso,kopi pekat,GAP,
bumbu dapur,"aneka bumbu yang digunakan untuk memasak, terdiri atas jahe, kunyit, serai dan sebagainya",bumbu dapur,Rampah Rampah gasan bamasak
kue jahe,"kue yang dibuat dari adonan terigu, maizena, telur, gula, jahe, dan sebagainya yang dipanggang hingga cokelat, dapat berbentuk menyerupai manusia, bintang, dan lain-lain, rasanya manis, dan biasa disajikan saat hari natal",GAP,
kacang tunggak,"kacang yang bentuknya bulat panjang, ukurannya dua kali lebih besar daripada kacang hijau, warnanya merah tua, biasa diolah menjadi campuran sayur atau camilan (Vigna unguiculata)",GAP,
saus cabai,"saus kental yang dibuat dari cabai, bumbu-bumbu, dan air; saus sambal",saus lombok,kuah atau lumuran nang isiannya dari lombok
bakso rudal,bakso berukuran besar dengan campuran urat sapi atau berisi daging cincang,GAP,
falafel,"penganan khas Timur Tengah berbahan dasar kacang arab yang dibentuk bulat bersama dengan campuran tepung, wijen, dan bumbu lainnya, bertekstur garing di luar dan empuk di dalam, biasanya disajikan dengan roti pita, sayuran segar, dan acar",GAP,
tembakang,"ikan yg hidup di air tawar, berbadan pipih agak lonjong, berwarna keabu-abuan, mulutnya berbibir tebal, Helostoma temminckii",GAP,
ripit,keripik pisang atau keladi,ripit,keripik pisang atau kaladi
lengkeng,"pohon dan buahnya, Euphoria longana",lengkeng; kelengkeng,"Buah nang halus, berbentuk bulat, dan memiliki daging buah yang manis serta berair"
susu formula,campuran susu atau makanan pengganti susu ibu untuk bayi,susu formula,biasanya susu bubuk pangganti air susu ibu (ASI)
pempek lenggang,"pempek lenjer yang dipotong kecil-kecil, dicampur dengan kocokan telur, kemudian digoreng seperti telur dadar",GAP,
ekstrak kola,ekstrak dari buah kola,GAP,
kue lapis,"kue berlapis-lapis yang rasanya manis, terbuat dari tepung beras",wadai lapis,"kue tradisional yang terbuat dari lapisan-lapisan adonan tepung beras, santan, dan gula yang dikukus berulang kali hingga membentuk lapisan-lapisan warna-warni"
nasi gonjleng,"nasi khas Cirebon, bumbunya seperti nasi kebuli, biasanya dihidangkan pada hari-hari besar",GAP,
es laksmana mengamuk,"minuman khas Riau yang dibuat dari potongan buah kuweni yang diberi santan dan gula merah, dan dibubuhi es",GAP,
beras pecah,beras dengan ukuran 5/10-2/10 bagian panjang butir aslinya; ber,GAP,
belimbing,"tumbuhan yang termasuk suku Oxalidaceae, tinggi pohon mencapai 5-12 m, berdaun majemuk, buahnya ada yang manis (belimbing manis) dan ada yang dapat dibuat sayur (belimbin",balimbing,
miso,"bumbu masak berbentuk pasta hasil fermentasi kacang kedelai, biasanya digunakan untuk membuat sup",miso,"pasta fermentasi nang dibuat dari kedelai, garam, dan terkadang beras atau gandum"
jeruk jamblang,"jeruk yang berasal dari Jamblang, berbentuk bulat besar, berkulit tebal, berulas besar-besar, dan isinya kemerah-merahan (Citrus grandis)",GAP,
rubik,penganan sj kripik,GAP,
es loder,"minuman dingin khas Bogor, terbuat dari adonan tepung hunkue, candil, dan sagu mutiara yang disiram dengan kuah santan dan gula merah",GAP,
udap,udap-udapan makanan dr sayursayuran atau buah-buahan spt gado-gado atau rujak,GAP,
ketan tumis,"ketan kukus yang diberi bumbu tumis (telur, ebi), kemudian diaduk menjadi satu",ketan tumis,"ketan nang dimasak dengan cara ditumis bersama bahan-bahan lain seperti kelapa parut, dan rempah-rempah, sehingga menghasilkan gurih"
teh poci,teh yang diseduh secara khas pada poci dan cangkir yang terbuat dari tanah liat,GAP,
pempek keriting,pempek yang bentuk dan teksturnya menyerupai rambut keriting,GAP,
siung bawang putih,bagian dari bawang putih yang digunakan untuk bahan masakan,siung bawang basihung,siung matan bawang basihung
mi telur,"mi mentah yang terbuat dari telur, digunakan untuk berbagai sajian mi, seperti mi goreng",mi hintalu,"mi nang dibuat dari campuran tepung terigu dan hintalu, biasanya digunakan dalam berbagai masakan seperti mi goreng atau mi kuah."
agar-agar,"jenis ganggang laut yg dapat dimakan, Eucheuma spinosum",GAP,
pasta kering,"pasta yang dibuat dari tepung, garam, dan air, biasanya dicetak dan dipotong sebelum hasilnya digantung di rak untuk dikeringkan",GAP,
tembosa,"kue dr tepung berisi daging, udang kering, dsb",GAP,
otak-otak,lauk atau panganan (khas Palembang) dibuat dari ikan dsb dicampur dng rempah-rempah dan dibungkus dng daun pisang lalu dipanggang,otak-otak,"makanan nang terbuat dari ikan yang dihaluskan, dicampur dengan bumbu dan rempah, kemudian dibungkus dengan daun pisang dan dipanggang atau dikukus"
teh kulit manggis,"teh yang diolah dari kulit manggis kering, berkhasiat membunuh penyakit dan memperbaiki sel",GAP,
kue natal,kue yang disajikan pada saat natal,wadai natal,kue nang diulah dan dinikmati selama perayaan Natal
rantangan,"makanan (lauk, dsb) yg dipesan secara berlangganan (biasanya makanan ditempatkan dl rantang)",rantangan,"tempat untuk menyimpan dan membawa makanan, biasanya terbuat dari logam atau plastik, yang memiliki beberapa kompartemen untuk memisahkan berbagai jenis makanan"
