English Concept,Concept Description,Turkish Lemmas,Turkish Definitions
maternal sister,[eng] A female person who has the same mother as another person,GAP,no target lemma
maternal uncle,a father's brother or sister ,dayı,annenin erkek kardeşi
mother's elder brother,the oldest of father's sisters,GAP,no target lemma
mother's elder sister,the oldest of mother's sisters,GAP,no target lemma
mother's sibling,he sister of your father or mother; the wife of your uncle,GAP,no target lemma
mother's younger brother,the oldest of mother's sisters,GAP,no target lemma
mother's younger sibling,the youngest of parent's sisters,GAP,no target lemma
mother's younger sister,the youngest of mother's sisters,GAP,no target lemma
nephew,a son of your brother or sister,erkek yeğen ,Birine göre kardeşin erkek çocuğu
nibling," a child of one's sibling, such as a niece or nephew",yeğen,Birine göre kardeş çocuğu
niece,a daughter of your brother or sister,kız yeğen ,Birine göre kardeşin kız çocuğu
parent's elder brother,the oldest of parent's brothers,GAP,no target lemma
parent's elder sister,the oldest of parent's sisters,GAP,no target lemma
parent's younger brother,the youngest of parent's brothers,GAP,no target lemma
parent's younger sister, the youngest of mother's brothers or sisters ,GAP,no target lemma
paternal aunt,A sister of someone's father,"hala, bibi",babanın kız kardeşi
paternal aunt (female speaking),A brother of someone's father if the speaker is female,GAP,no target lemma
paternal aunt (male speaking),A sister of someone's father if the speaker is male,GAP,no target lemma
paternal grandfather, your grandfather on your father's side,GAP,no target lemma
paternal grandfather (female speaking), your grandfather on your father's side if the speaker is female,GAP,no target lemma
paternal grandfather (male speaking), your grandfather on your father's side if the speaker is male,GAP,no target lemma
paternal grandmother, your grandmother on your mother's side,babaanne,babanın annesi
paternal grandparent, your grandparents on your father's side,GAP,no target lemma
paternal uncle,a mother's brother or sister ,"amca, emmi",babanın erkek kardeşi
paternal uncle (female speaking),A brother of someone's father if the speaker is male,GAP,no target lemma
paternal uncle (male speaking),A sister of someone's father if the speaker is female,GAP,no target lemma
peternal brother,[eng] A male person who has the same father as another person,GAP,no target lemma
peternal sister,[eng] A female person who has the same father as another person,GAP,no target lemma
sibling,a person's brother or sister,kardeş,Aynı anne babadan doğmuş veya anne babalarından biri aynı olan çocukların birbirine göre adı
sister,a female person who has the same parents as another person,Kız kardeş,Bir kimsenin dişi cinsten kardeşi
sister (female speaking),a female person who has the same parents as another person if the speaker is female,GAP,no target lemma
sister (male speaking),a male with the same parents as someone else if the speaker is male,GAP,no target lemma
sister's child,the daughter of someone's brother,GAP,Birine göre kardeş çocuğu
sister's child (male speaking),the daughter of someone's brother if the speaker is male,GAP,no target lemma
sister's daughter,the female human offspring of someone's sister,GAP,no target lemma
sister's daughter (female speaking), the oldest of a group of brother's sons,GAP,no target lemma
sister's son,the male human offspring of someone's sister,GAP,no target lemma
sister's son (female speaking),the female human offspring of someone's sister if the speaker is female,GAP,no target lemma
sister's son (male speaking),the male human offspring of someone's sister if the speaker is male,GAP,no target lemma
son of father's brother,a male human offspring of father's brother,"amcaoğlu, emmioğlu",babanın erkek kardeşinin erkek çocuğu
son of father's brother (female speaking),a female human offspring of father's brother if the speaker is male,GAP,no target lemma
son of father's brother (male speaking),a male human offspring of father's brother if the speaker is female,GAP,no target lemma
son of father's sister,a female human offspring of father's sister,halaoğlu,babanın kız kardeşinin erkek çocuğu
son of mother's brother,a male human offspring of mother's brother,dayıoğlu,annenin erkek kardeşinin erkek çocuğu
son of mother's sibling,a male human offspring of mother's sibling,GAP,no target lemma
son of mother's sister,a male human offspring of mother's sister,teyzeoğlu,annenin kız kardeşinin erkek çocuğu
son of mother's sister (female speaking),a male human offspring of mother's sister if the speaker is female,GAP,no target lemma
son of mother's sister (male speaking),a male human offspring of mother's sister if the speaker is male,GAP,no target lemma
son of parent's brother,a male human offspring of parent's brother,GAP,no target lemma
son of parent's sister,a female human offspring of parent's sister,GAP,no target lemma
son's child,a human offspring (son or daughter) of any age of a adaughter,GAP,no target lemma
son's child (female speaking),a human offspring (son or daughter) of any age of a son if the speaker is female,GAP,no target lemma
son's child (male speaking),a human offspring (son or daughter) of any age of a son if the speaker is male,GAP,no target lemma
son's daughter,a son of someone's son,GAP,no target lemma
son's daughter (female speaking),a son of someone's daughter if the speaker is female,GAP,no target lemma
son's daughter (male speaking),a daughter of someone's son if the speaker is male,GAP,no target lemma
son's son,a daughter of someone's son,GAP,no target lemma
son's son (female speaking),a son of someone's son if the speaker is female,GAP,no target lemma
son's son (male speaking),a son of someone's son if the speaker is male,GAP,no target lemma
uncle,A brother of someone's mother,GAP,no target lemma
younger brother,the oldest of a group of brothers,GAP,no target lemma
younger brother (female speaking),the oldest of a group of sisters if the speaker is female,GAP,no target lemma
younger brother (male speaking),the youngest of a group of brothers if the speaker is female,GAP,no target lemma
younger brother's child, the youngest of a group of brother's sons,GAP,no target lemma
younger brother's child (male speaking), the oldest of a group of brother's sons if the speaker is male,GAP,no target lemma
younger brother's daughter, the oldest of a group of sister's children,GAP,no target lemma
younger brother's son, the younest of a group of brother's children,GAP,no target lemma
younger cousin,the youngest of a group of cousins,GAP,no target lemma
younger female cousin,the youngest of a group of female cousins,GAP,no target lemma
younger female cousin (female speaking),the youngest of a group of female cousins if the speaker is female,GAP,no target lemma
younger male cousin,the youngest of a group of male cousins,GAP,no target lemma
younger male cousin (male speaking),the youngest of a group of male cousins if the speaker is male,GAP,no target lemma
younger sibling,the youngest of a group of sisters,GAP,no target lemma
younger sister,the oldest of a group of sisters,GAP,no target lemma
younger sister (female speaking),the youngest of a group of sisters if the speaker is female,GAP,no target lemma
younger sister (male speaking),the youngest of a group of sisters if the speaker is male,GAP,no target lemma
younger sister's child, the oldest of a group of sister's sons,GAP,no target lemma
younger sister's child (female speaking), the younest of a group of sister's sons if the speaker is female,GAP,no target lemma
younger sister's daughter, the youngest of a group of the female human offspring of someone's sister,GAP,no target lemma
younger sister's son, the younest of a group of sister's children,GAP,no target lemma
"younger, daughter of father's brother",the youngest of a group of female humans offspring of father's brother,GAP,no target lemma
"younger, daughter of father's sister",the youngest of a group of female humans offspring of father's sister,GAP,no target lemma
"younger, daughter of mother's sibling",the youngest of a group of female humans offspring of mother's sibling,GAP,no target lemma
"younger, son of father's brother",the youngest of a group of male humans offspring of father's brother,GAP,no target lemma
"younger, son of father's sister",the oldest of a group of male humans offspring of father's sister,GAP,no target lemma
"younger, son of mother's sibling",the youngest of a group of male humans offspring of mother's sibling,GAP,no target lemma
