Lemma,Gloss,Banjarese lemmas (or gap),Banjarese Gloss
"third, 3rd, tertiary",coming next after the second and just before the fourth in position,katiga,"urutannya katiga, jumlahnya"
"colorful, colourful",having striking color,warna-warni,warnanya bacampur
"damp, dampish, moist",slightly wet,"baal, ba'al",satangah karing
dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet,karing,kada basah lagi
dark,(used of color) having a dark hue,kadap,kadada cahaya
hard,resisting weight or pressure,ngalih,kada gegampangan
"wide, broad",having great (or a certain) extent from one side to the other,"luas, lunggar",kada sampit
"firm, solid",not soft or yielding to pressure,kuat,kada lamah
"gentle, soft",soft and mild; not harsh or stern or severe,halus,"teksturnya halus, kada kasar"
narrow,not wide,kipit,"kada luas, kada bajarak"
clean,free from dirt or impurities; or having clean habits,barasih,kada rigat
soft,yielding readily to pressure or weight,halus,lembut
"dirty, soiled, unclean",soiled or likely to soil with dirt or grime,rigat,kada barasih
"adept, expert, good, practiced, proficient, skillful, skilful",having or showing knowledge and skill and aptitude,cangkal,bersifat cangkal
blunt,used of a knife or other blade; not sharp,dumul,kada landap
sharp,having or made by a thin edge or sharp point; suitable for cutting or piercing,landap,kada dumul
stupid,lacking or marked by lack of intellectual acuity,bungul,kada pintar
far,at a great distance in time or space or degree,jauh,"jaraknya jauh, kada parak"
smooth,having a surface free from roughness or bumps or ridges or irregularities,"mulus, licin","teksturnya mulus, licin, kadada dugul"
"near, close, nigh",not far distant in time or space or degree or circumstances,parak,jaraknya parak
heavy,of comparatively great physical weight or density,barat,bebannya barat
"bare, au naturel, naked, nude",completely unclothed,tilanjang,batilanjang
all,quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class,sabarataan,panunjuk jumlah 
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,panas,suhu panas
cold,used of physical coldness; having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration,dingin,suhu dingin
hungry,feeling hunger; feeling a need or desire to eat food,lapar,marasa parlu makan
strong,having strength or power greater than average or expected,kuat,tanaganya kuat
weak,having little physical or spiritual strength,lamah,tanaganya lamah
"flat, level, plane","having a surface without slope, tilt in which no part is higher or lower than another",rata,"permukaan datar, kada miring"
old,of long duration; not new,tuha,umurnya tuha
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered,hanyar,hanyar mancungul
old,(used especially of persons) having lived for a relatively long time or attained a specific age,tuha,umurnya tuha
"young, immature",(used of living things especially persons) in an early period of life or development or growth,anum,umur anum
"surviving, living",still in existence,batahan hidup,masih ada
"open, unfastened",affording unobstructed entrance and exit; not shut or closed,tabuka,kada tatutup
"shut, unopen, closed",not open,tatutup,kada tabuka
expensive,high in price or charging high prices,larang,haraganya larang
"cheap, inexpensive",relatively low in price or charging low prices,murah,haraganya murah/haraganya kada larang
beautiful,delighting the senses or exciting intellectual or emotional admiration,"bungas, langkar",bungas dilihat
"fine-looking, good-looking, better-looking, handsome, well-favored, well-favoured",pleasing in appearance especially by reason of conformity to ideals of form and proportion,bengkeng,bandanya bengkeng
rich,possessing material wealth,sugih,urang sugih
poor,having little money or few possessions,miskin,kada baduit
right,being or located on or directed toward the side of the body to the east when facing north,kanan,dikanan
sweet,having or denoting the characteristic taste of sugar,manis,"rasa manis, karakter"
left,being or located on or directed toward the side of the body to the west when facing north,kiwa,dikiwa
sour,having a sharp biting taste,masam,rasa masam 
"round, circular",having a circular shape,"bulat, malingkar",babantuk malingkar
familiar,well known or easily recognized,"asa pinandu, kada asing, patuh",asa suah tatamu
"apt, clever",mentally quick and resourceful,maakal,"capat bapikir, banyak akal"
tasty,pleasing to the sense of taste,nyaman,"rasanya nyaman, tempatnya nyaman"
bitter,one of the four basic taste sensations; sharp and disagreeable; like the taste of quinine,pahit, rasa kada nyaman
fat,having much flesh (especially fat),lamak,banyak daging di awak 
"thin, lean",lacking excess flesh,kurus karing,kurus banar kada badaging awak
different,unlike in nature or quality or form or degree,baubah,kada kaya di awal; bisa babaik bisa baburuk
"bracing, brisk, energizing, energising, fresh, refreshing, refreshful, tonic",imparting vitality and energy,kur sumangat ,kata nang rancak diucapakan bila urang takajut/siup; tujuannya gasan mambulikakan samangat 
other,not the same one or ones already mentioned or implied,lain,kada sama di awal; sudah baubah
raw,not treated with heat to prepare it for eating,mantah,balum masak; kada masak; sudah kada katuju lagi
thick,not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions,kandal, banyak lapis; bahan bagus; kada tipis
sad,experiencing or showing sorrow or unhappiness,bilut,bibir dikabawahakan tanda handak manangis
thin,of relatively small extent from one surface to the opposite or in cross section,tipis,lawannya kandal; sadikit banar bahannya
fine,thin in thickness or diameter,lamah lambut; halus,tipis lawan diameternya katabalan
"gay, jocund, jolly, jovial, merry, mirthful",full of or showing high-spirited merriment,pangurihingan,panaguran; katuju mangurihingi urang; maulah urang mau takurihing jua
"dense, heavy, impenetrable",permitting little if any light to pass through because of denseness of matter,barat,banyak jumlahnya; ganal
"correct, right",free from error; especially conforming to fact or truth,bujur,mamadahi sasuai lawan nang aslinya
"celebrated, famed, far-famed, famous, illustrious, notable, noted, renowned",widely known and esteemed,"bahaul, baaruah, baacaraan",bahaul gasan tuan guru atau alim ulama terpandang di daerah; baaruah gasan manduakan urang nang sudah mati;
bright,emitting or reflecting light readily or in large amounts,"tarang, nyarak", putih; cahaya/api nang nyarak maulah silau mata
first,preceding all others in time or space or degree,badahulu,"badahulu, pandahuluan"
last,coming after all others in time or space or degree or being the only one remaining,badudi,"pandudian, badudi, tadudi"
"erstwhile, former, old, onetime, quondam, sometime",belonging to some prior time,"bahari, bahula, dahulu","jaman bahari, bahula, dahulu"
"large, big",above average in size or number or quantity or magnitude or extent,ganal,"ganal, pangganalnya"
"diligent, persevering",quietly and steadily persevering especially in detail or exactness,cangkal,"cangkal, pancangkalan, bacacangkalan"
"faineant, indolent, lazy, otiose, slothful, work-shy",disinclined to work or exertion,koler,"koler, pangoler"
"dangerous, grave, grievous, serious, severe, life-threatening",causing fear or anxiety by threatening great harm,bahaya,"bahaya, babahaya, mambahayai"
"small, little",limited or below average in number or quantity or magnitude or extent,halus," halus, kahalusan, pahalusnya"
"foreign, strange",relating to or originating in or characteristic of another place or part of the world,asing,"asing, kada kenal, kada pinandu, kada tapi tahu"
true,consistent with fact or reality; not false,bujur,"bujur, babujur, pambujurnya, bujuran, iyapang"
"again, once again, once more, over again",anew,sakali lagi,lagi
hence,from this place,"ulih, barakat","ulih, barakat"
"immediately, instantly, straightaway, straight off, directly, now, right away, at once, forthwith, in real time, like a shot",without delay or hesitation; with no time intervening,wahini,"wahini, wahinian, wayahini, wayahinian,"
"now, at present",at the present moment,damini,"damini, daini, daminian"
"earlier, before",earlier in time; previously,"sabalaum, asal nya","sabalum, asal nya"
"subsequently, later, afterwards, afterward, after, later on",happening at a time subsequent to a reference time,imbah,"imbahtu, imbahnitu, kaina, kena"
"suddenly, all of a sudden, of a sudden",happening unexpectedly,"tatibaan, bakajut","tatibaan, bakajut,  bakajutan"
"ahead, in front, before",at or in the front,"di muka, di hadapan","di muka, di hadapan"
"ahead, onward, onwards, forward, forwards, forrader",in a forward direction,ka muka,ka ampah muka
"forward, forwards, frontward, frontwards, forrad, forrard",at or to or toward the front,bamaju,ka ampah muka meambil posisi
"back, backward, backwards, rearward, rearwards",at or to or toward the back or rear,bamundur,maambil posisi ka balakang
"backward, backwards",in a manner or order or direction the reverse of normal,babalik,mambalik arah supaya bujur
"above, higher up, in a higher place, to a higher place",in or to a place that is higher,banaik,dari tampat awal banaik ka tinggi
"downstairs, down the stairs, on a lower floor, below",on a floor below,baturun,dari tampat awal baturun ka randah
"down, downwards, downward, downwardly",spatially or metaphorically from a higher to a lower level or position,ka bawah,sesuatu yang ada di bawah
"up, upwards, upward, upwardly",spatially or metaphorically from a lower to a higher position,ka atas,sesuatu yang ada di atas
"first, firstly, foremost, first of all, first off",before anything else,kasatu,pamulaan awal
"here, hither",to this place (especially toward the speaker),ka sini,tempat yang disuruh didatangi
here,in or at this place; where the speaker or writer is,di sini,tempat yang menyambat baada
"there, at that place, in that location",in or at that place,di sana,di tempat yang ditunjuk
"there, thither",to or toward that place; away from the speaker,ka sana,tempat nang disuruh untuk didatangi akan
together,in contact with each other,"tikat, tagabung",tagabung satu lawan nang lain
then,at that time,pas itu,di waktu itu pang
"then, so, and so, and then",subsequently or soon afterward (often used as sentence connectors),limbah nitu,sasudah kalimat tuntung atawa panyambung
"once, one time, in one case",on one occasion,sakali,sakali
"once, formerly, at one time, erstwhile, erst",at a previous time,dahulu,waktu dahulu kala
so,"in such a condition or manner, especially as expressed or implied",GAP,
"at a time, at once, at one time",simultaneously,"sakalian, sasakali","manggawi sakalian, sekaligus"
"alone, solo, unaccompanied",without anybody else,saurangan,kada wan siapa-siapa
long,for an extended time or at a distant time,panjang,jarak sesuatu nang kada handap
"vainly, in vain",to no avail,sia-sia,"kada ba hasil, kadada hasilnya"
through,in diameter,malalui,jalur atau cara gasan mencapai sesuatu
tomorrow,"the next day, the day after, following the present day",isuk,imbah hari ini
"under, below",further down,di bawah,posisi atau sesuatu nang di ada dibawah
today,on this day as distinct from yesterday or tomorrow,hari ini,"damini jua, kada samalam ataupun isuk"
yesterday,on the day preceding today,samalam,sebelum hari ini
behind,in or to or toward the rear,di belakang,"pina ta masuk atau taka belakang, kada di muka"
"between, 'tween",in between,antara,di sela-sela/di tangah-tangah ; perbandingan
"barely, hardly, just, scarcely, scarce",by a small margin,parak ha,menunjukkan hal nang parak ta jadi
"entirely, exclusively, solely, alone, only",without any others being included or involved,sabarataan,"total keseluruhan, kadada nang ta liwat dalam sebuah konteks"
"always, ever, e'er",at all times; all the time and on every occasion,"salalu, salawasan",menunjukkan keadaan nang konsisten ; selalu
"never, ne'er",not ever; at no time in the past or future,kada suah,kada suah
sometimes,on certain occasions or in certain cases but not always,kadang-kadang,kadang-kadang
"not, non",negation of a word or group of words,kada,kada
"everywhere, everyplace, all over",to or in any or all places,"dimanapun, kemana mana",kemana mana
still,"with reference to action or condition; without change, interruption, or cessation",tatap,"tatap, kada beubah"
already,prior to a specified or implied time,sudah,sudah
"very, really, real, rattling",used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal,sangat,banar
"a bit, a little, a trifle",to a small degree; somewhat,sadikit,sadikit
"soon, shortly, presently, before long",in the near future,hancap,hancap
"frequently, often, oftentimes, oft, ofttimes",many times at short intervals,rancak,rancak
name,a language unit by which a person or thing is known,ngaran,"ngaran, identitas"
thing,a separate and self-contained entity,banda,banda
gruel,a thin porridge (usually oatmeal or cornmeal),GAP,\
"object, physical object",a tangible and visible entity; an entity that can cast a shadow,objek,objek
"side, face",a surface forming part of the outside of an object,higa,higa
"grave, tomb",a place for the burial of a corpse (especially beneath the ground and marked by a tombstone),kuburan,kuburan
"eye, oculus, optic",the organ of sight,mata,panglihatan
"boundary line, border, borderline, delimitation, mete",a line that indicates a boundary,"halat, bahalat, pahalat",garis pambatas
"taste, taste sensation, gustatory sensation, taste perception, gustatory perception",the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus,rasa,rasa nang muncul dari indra pengecap
"person, individual, someone, somebody, mortal, soul",a human being,urang,saurang nusia
"relish, flavor, flavour, sapidity, savor, savour, smack, nip, tang",the taste experience when a savoury condiment is taken into the mouth,nyaman,rasa nang masuk ka muntung
"animal, animate being, beast, brute, creature, fauna",a living organism characterized by voluntary movement,binatang,"makhluk hidup nang bagarak, kada baakal"
time,the continuum of experience in which events pass from the future through the present to the past,wayah,"kaadaan barada, atau barlangsung"
"tone, pure tone",a steady sound without overtones,nada,suara stabil kada banada tambahan
sore,an open skin infection,padih,kulit tahiris
needle,a sharp pointed implement (usually steel),jarum,alat nang runcing wan landap
"measure, quantity, amount",how much there is of something that you can quantify,maanggar,sesuatu nang diukur
"corner, nook",an interior angle formed be two meeting walls,buncu,tarbantuk dari dua dinding
game,an amusement or pastime,mainan,hiburan pas waktu luang
"letter, missive",a written message addressed to a person or organization,surat,gasan mangirim pasan
ear,the sense organ for hearing and equilibrium,talinga,gasan mandangar
"hog, pig, grunter, squealer, sus scrofa",domestic swine,babi,binatang haram
"net, network, mesh, meshing, meshwork",an open fabric of string or rope or wire woven together at regular intervals,jaring,perangkap iwak
"pain, pain sensation, painful sensation",a somatic sensation of acute discomfort,nyeri,"marasa sakit, rasa sakit"
"center, centre, middle, heart, eye",an area that is approximately central within some larger region,"pusat, tangah","pokok pangkal, wadah di antara dua tepi, bagian awak nindera gasan malihat"
"heat, warmth",the sensation caused by heat energy,panas,"hangat banar, keadaan nang hangat "
age,how long something has existed,"usia, zaman","lama wayah hidup, jangka wayah nang menandai sesuatu"
"doctor, doc, physician, md, dr., medico",a licensed medical practitioner,"dokter, tabib,","urang nang ahli dalam hal garing wan pangobatan, urang nang maubati "
gun,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel),pistul,sanjata nang malapehkan piluru wan kacepatan tinggi
breath,the process of taking in and expelling air during breathing,nangas,proses maambil wan mangaluarkan udara
bull,uncastrated adult male of domestic cattle,banteng,lembu hitam
"cow, moo-cow",female of domestic cattle,sapi,hewan ternak wan mamalia
noise,sound of any kind (especially unintelligible or dissonant sound),suara bising,"bunyi nang dikaluarakan dari mulut manusia,suara urang banyak "
"country, state, land",the territory occupied by a nation,"nagara, tanah","organisasi dalam suatu wilayah nang baisi kakuasaan tatinggi, parmukaan bumi "
onion,an aromatic flavorful bulb,bawang ,jenis bawang nang babantuk bulat ganal
"noose, running noose, slip noose",a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled,jerat,tali nang hujungnya disimpulakan mambantuk lubang nang kawa disempit
bag,a flexible container with a single opening,kampil,kemasan babantuk sagi ampat wan dipakai gasan manyimpan 
cradle,a baby bed with sides and rockers,buaian ,ranjang nang babantuk kaya ayunan wan digantung di kadua hujungnya 
news,new information of any kind,habar,kisah manganai kajadian nang hangat 
sheep,woolly usually horned ruminant mammal related to the goat,domba,kambing nang babuluan tebal
thunder,a booming or crashing noise caused by air expanding along the path of a bolt of lightning,guntur ,suara manggigir di udara 
shelf,a support that consists of a horizontal surface for holding objects,rak,wadah nang berfungsi gasan manyimpan barang-barang 
"home, place",where you live at a particular time,"rumah, wadah","bangunan gasan wadah tinggal, ruang nang ditinggali, sesuatu nang dipakai gasan menaruh "
uncle,the brother of your father or mother; the husband of your aunt,paman ,"ading abah, laki acil"
desire,an inclination to want things,kahandak,"bakahandak, mangahandaki"
"crockery, dishware",tableware (eating and serving dishes) collectively,paralatan makan,alat makan
"handle, grip, handgrip, hold",the appendage to an object that is designed to be held in order to use or move it,mandangani,"bapingkut, mangganii"
end,a boundary marking the extremities of something,ampih,"baampih, maampihi, tuntung"
shirt,a garment worn on the upper half of the body,baju kamija,baju rasmi
shoe,footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material,sapatu,gasan dipakai sapatu
"current, stream",a steady flow (usually from natural causes),"wahini, sungai halus","wahinian, tampat gasan urang bakudak"
"peel, skin",the rind of a fruit or vegetable,manguyak,"manguyak buah, kuyak akan"
"hayfield, meadow",a field where grass or alfalfa are grown to be made into hay,padang gayang,gasan sapi
"mistake, error, fault",a wrong action attributable to bad judgment or ignorance or inattention,sebuah kesalahan,gasan nang salah kita laku akan
apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,apel,"buah nang warna habang, hijau, kuning"
ware,"articles of the same kind or material; usually used in combination: `silverware', `software'",GAP,
"shop, store",a mercantile establishment for the retail sale of goods or services,tuku,tampat gasan babalanja
"overlord, master, lord",a person who has general authority over others,tuan urang,sambatan gasan nang baisi tanah
berry,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves,buah beri,"sajanis buah bulat halus, bisa jua dijadi akan selai"
oil,a slippery or viscous liquid or liquefiable substance not miscible with water,minyak,"haharuman gasan awak, gasan maurut, gasan mangguring"
shovel,a hand tool for lifting loose material; consists of a curved container or scoop and a handle,singkrung,alat gasan mengambil pasir wan tanah
"north, due north, northward, n",the cardinal compass point that is at 0 or 360 degrees,utara,arah mata angin
"dream, dreaming",a series of mental images and emotions occurring during sleep,bamimpi,"bamimpi guring, tamimpi"
"east, due east, eastward, e",the cardinal compass point that is at 90 degrees,timur,arah mata angin
"elk, european elk, moose, alces alces",large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America,GAP,
cup,a small open container usually used for drinking; usually has a handle,"galas, cangkir",banda nang digunakan gasan minum
"south, due south, southward, s",the cardinal compass point that is at 180 degrees,selatan,arah mata angin
"dog, domestic dog, canis familiaris",a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,"anjing, ",hewan nang rancak diharagu urang
"west, due west, westward, w",the cardinal compass point that is a 270 degrees,barat,"arah mata angin, manunjuk akan arah"
parent,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian,kuitan,"abah wan mama, nang melahirkan wan membesar akan"
way,any artifact consisting of a road or path affording passage from one place to another,jalan,bajalan ka tampat lain
"lair, den",the habitation of wild animals,sarang,tampat tinggalnya hewan liar
paw,a clawed foot of an animal especially a quadruped,mangais,"mancari makanan dengan cara manggaruk, mangais tanah"
"fire, flame, flaming",the process of combustion of inflammable materials producing heat and light and (often) smoke,api,"gasan mambakar, panas"
message,a communication (usually brief) that is written or spoken or signaled,pasan,mahabari kabar besuara wan nang tatulis
well,a deep hole or shaft dug or drilled to obtain water or oil or gas or brine,sumur,lubang nang dalam digali gasan mendapat banyu atau minyak
horn,one of the bony outgrowths on the heads of certain ungulates,tanduk,"alat kesan mangdu ka hewan buas nang lain, cungul di kapala"
"citizenry, people",the body of citizens of a state or country,urang,"urang, manusia"
"song, vocal",a short musical composition with words,"lagu, suara, babunyian","musik handap nang dibabunyikan basuara, bakata-kata"
"paddle, boat paddle",a short light oar used without an oarlock to propel a canoe or small boat,kayuh,gasang mangayuh jukung
"snake, serpent, ophidian",limbless scaly elongate reptile; some are venomous,ular,hewan nang melata
paint,a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating,cat,gasan mewarnai banda atau rumah
ski,narrow wood or metal or plastic runners used in pairs for gliding over snow,ski,papan kayu atau wasi nang sempit gasan maluncur di atas salju
"silence, quiet",the absence of sound,"baranai, hinip","kada babunyi, kada bagarak"
tree,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms,pohon,tanaman
bed,a piece of furniture that provides a place to sleep,tilam,tampat guring
"pasture, pastureland, grazing land, lea, ley",a field covered with grass or herbage and suitable for grazing by livestock,"halalang, padang kumpay",kumpay badaun tajam
liver,large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes,hati,"organ dalam awak, "
"newspaper, paper",a daily or weekly publication on folded sheets; contains news and articles and advertisements,"koran, karatas","gasan dibaca, gasan manulis"
"peak, crown, crest, top, tip, summit",the top point of a mountain or hill,puncak,di atas parmukaan laut
slab,block consisting of a thick piece of something,lempeng,gasan bangunan
"father, male parent, begetter",a male parent (also used as a term of address to your father),abah,kuitan lalaki
"heart, pump, ticker",the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body,jantung,"organ dalam awak, gasan mengalir akan darah ke seluruh awak"
"sled, sledge, sleigh",a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow,papan luncur,gasan baramian di atas salju
"position, place",the particular portion of space occupied by something,tampat,manunjuk akan kata tampat
"sleeve, arm",the part of a garment that is attached at the armhole and that provides a cloth covering for the arm,"tangan baju, langan baju","kawa handap, kawa panjang"
"female child, girl, little girl",a youthful female person,diyang,kakanakan halus binian
window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,lalungkang,"gasan rumah kada kapanasan, gasan cahaya matahari masuk ka rumah, gasan kada humap"
root,(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground,akar,nang di bawah tanah atau banyu
line,a length (straight or curved) without breadth or thickness; the trace of a moving point,garis,gasan mambatasi
belt,a band to tie or buckle around the body (usually at the waist),pendeng,gasan salawar kada lului
"stomach, tummy, tum, breadbasket",an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,parut,bagian awak
hook,a curved or bent implement for suspending or pulling something,"kabam, pasuran",gasan maunjun iwak
"gold, au, atomic number 79",a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia,amas,gasan perhiasan
wolf,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs,"anjing, duyuk",binatang melolong
"design, pattern, figure",a decorative or artistic work,hiasan gasan rumah,"gasan menghiasi rumah, mendekor"
"wife, married woman",a married woman; a man's partner in marriage,bini,pasangan laki
blood,the fluid (red in vertebrates) that is pumped by the heart,darah,mangalir dalam awak
"iron, fe, atomic number 26",a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood,wasi,"gasan maulah seng, gasan maulah banda wasi"
"blade, leaf blade",especially a leaf of grass or the broad portion of a leaf as distinct from the petiole,daun,bagian tanaman
"part, portion",something less than the whole of a human artifact,"porsi, bagian",sesuatu nang kurang dari awak manusia
"language, linguistic communication",a systematic means of communicating by the use of sounds or conventional symbols,bahasa,nang dipakai gasan bapandir
"topic, subject, issue, matter",some situation or event that is thought about,"topik, pandir",situasi nang dibahas
fox,alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs,rubah,hewan hutan
circle,something approximating the shape of a circle,"lingkaran, bulatan",sesuatu nang bulat
"tear, teardrop",a drop of the clear salty saline solution secreted by the lacrimal glands,banyu mata,nang kaluar pas manangis
word,a unit of language that native speakers can identify,kata,gabungan huruf
truth,a fact that has been verified,jujur,kata nang bujur
"cat, true cat",feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats,kucing,hewan bebulu
"birch, birch tree",any betulaceous tree or shrub of the genus Betula having a thin peeling bark,GAP,
"woman, adult female",an adult female person (as opposed to a man),galuh,binian tuha
path,a way especially designed for a particular use,jalur,arah jalan
"foe, enemy",a personal enemy,musuh,nang kada bakawan
"silver, ag, atomic number 47",a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography,pirak,"lugam nang bawarna putih tipis, rajin dipakai gasan maulah koin atawa parhiasan "
house,a dwelling that serves as living quarters for one or more families,rumah,tampat gasan urang tinggal
sand,a loose material consisting of grains of rock or coral,karangan,banda babantuk babutir halus
"foreman, chief, gaffer, honcho, boss",a person who exercises control over workers,"mandur, bos",urang nang mangawasi/mangatur 
"chill, iciness, gelidity",coldness due to a cold environment,"dingin, dingin banar",kadinginan 
"vein, vena, venous blood vessel",a blood vessel that carries blood from the capillaries toward the heart,pambuluh darah,urgan di awak nang mambawakan darah ka saluruh awak
